trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,144.54349829995772,,144.50252379995072,5,144.54349829995772,144.54349829995772,0.01736150000942871,145.78129159996752,[0.11666666666666667],[0.20833333333333334],[1],[0],[0],[1.2617380000301637],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
56,0,56,0,145.84201769996434,,145.78452849999303,10,145.84201769996434,145.84201769996434,0.0321373000042513,147.44463869999163,[-0.37],[-0.08333333333333333],[1],[0],[0],[1.6280949999927543],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
57,0,57,0,147.49038529995596,,147.44783749995986,5,147.49038529995596,147.49038529995596,0.017325500026345253,148.9752276999643,[-0.32166666666666666],[-0.3416666666666667],[1],[0],[0],[1.5102678000112064],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
58,0,58,0,149.02001419995213,,148.97835249995114,5,149.02001419995213,149.02001419995213,0.01662789995316416,151.33797100000083,[0.4716666666666667],[0.36833333333333335],[1],[0],[0],[2.3432330999639817],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
59,0,59,0,151.38273959996877,,151.3410762999556,5,151.38273959996877,151.38273959996877,0.016387599986046553,153.25204569997732,[-0.21666666666666667],[0.4083333333333333],[1],[0],[0],[1.8947739000432193],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
60,0,60,0,153.2963049999671,,153.25510919996304,5,153.2963049999671,153.2963049999671,0.017072100017685443,154.88298199995188,[0.155],[-0.09166666666666666],[1],[0],[0],[1.6111094999941997],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
61,0,61,0,154.9271992999711,,154.8864057000028,5,154.9271992999711,154.9271992999711,0.016744400025345385,157.0947610999574,[-0.49333333333333335],[-0.13166666666666665],[1],[0],[0],[2.1918038000003435],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
62,0,62,0,157.14018609997584,,157.09816009999486,5,157.14018609997584,157.14018609997584,0.016769099980592728,159.0099433999858,[0.35],[-0.31166666666666665],[1],[0],[0],[1.8952035999973305],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
63,0,63,0,159.0536551999976,,159.01308139995672,5,159.0536551999976,159.0536551999976,0.016855499998200685,160.62486669997452,[-0.2683333333333333],[0.13],[1],[0],[0],[1.5951448999694549],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
64,0,64,0,160.6842640999821,,160.6284016999998,10,160.6842640999821,160.6842640999821,0.03189310000743717,162.93700549995992,[0.38333333333333336],[-0.08333333333333333],[1],[0],[0],[2.2770234999479726],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
65,0,65,0,162.98067609994905,,162.94172619999154,5,162.98067609994905,162.98067609994905,0.018384900002274662,165.3996027999674,[0.11166666666666666],[-0.42833333333333334],[1],[0],[0],[2.440007600001991],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
66,0,66,0,165.44338089996018,,165.40251689997967,5,165.44338089996018,165.44338089996018,0.016685000038705766,167.5627488999744,[0.18],[-0.23333333333333334],[1],[0],[0],[2.143755399971269],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
67,0,67,0,167.62333219998982,,167.56621989997802,10,167.62333219998982,167.62333219998982,0.03239040001062676,169.5751206999994,[-0.475],[0.475],[1],[0],[0],[1.9767239000066184],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
