delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400,unexp,335,11,27,space,0.470101099985186,None,800,1,[3.2880560000194237],[3.2880632000160404],27,11,335,1,1387.9735175000387,,1387.961956700019,1387.9735175000387,1388.9731884000357,1388.9731884000357,1388.9731884000357,1389.4447358000325,space,0.470101099985186,None,1389.44536230003,1389.8567013666654,1390.1722376000253,1390.1557263000286,1390.156415400037,1390.1722376000253,1390.1722376000253,1390.1722376000253,1393.4609817000455,800,1,[3.2880560000194237],[3.2880632000160404],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,336,0,28,space,0.40133720001904294,None,700,1,[1.6044760000077076],[1.6044857000233606],28,0,336,11,1393.4739783999976,,1393.4613249000395,1393.4739783999976,1394.4736321000382,1394.4736321000382,1394.4736321000382,1394.8780624000356,space,0.40133720001904294,None,1394.8788803000352,1395.5901914666795,1395.9224228000385,1395.8943485000054,1395.8947533000028,1395.9224228000385,1395.9224228000385,1395.9224228000385,1397.5276152000297,700,1,[1.6044760000077076],[1.6044857000233606],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,1000,exp,337,1,28,space,0.2901687999838032,None,700,1,[1.7372370000230148],[1.737245400028769],28,1,337,4,1397.5400078000384,,1397.5278593000257,1397.5400078000384,1398.5407563000335,1398.5407563000335,1398.5407563000335,1398.8441273000208,space,0.2901687999838032,None,1398.8449695000309,1399.2571798666652,1399.5903638000018,1399.5639506000443,1399.5645209000213,1399.5903638000018,1399.5903638000018,1399.5903638000018,1401.3283358000335,700,1,[1.7372370000230148],[1.737245400028769],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,338,2,28,space,0.2603059000102803,None,700,1,[1.937337200040929],[1.9373488000128418],28,2,338,9,1401.3401394000393,,1401.328690299997,1401.3401394000393,1402.340928199992,1402.340928199992,1402.340928199992,1402.610676900018,space,0.2603059000102803,None,1402.611617800023,1402.7234648666965,1403.0392352000345,1403.0239264999982,1403.0243312999955,1403.0392352000345,1403.0392352000345,1403.0392352000345,1404.9773002000293,700,1,[1.937337200040929],[1.9373488000128418],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,400,unexp,339,3,28,space,0.24292230000719428,None,700,1,[1.6878990000113845],[1.6879067000118084],28,3,339,0,1404.9898273000144,,1404.9776169999968,1404.9898273000144,1405.9901460999972,1405.9901460999972,1405.9901460999972,1406.2445062000188,space,0.24292230000719428,None,1406.2451542000053,1406.356450366675,1406.6720967,1406.6575251999893,1406.6579566000146,1406.6720967,1406.6720967,1406.6720967,1408.3607809999958,700,1,[1.6878990000113845],[1.6879067000118084],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,400,unexp,340,4,28,space,0.2879034000216052,None,700,1,[2.021409599983599],[2.0214170999825],28,4,340,1,1408.3734156000428,,1408.3611000000383,1408.3734156000428,1409.3737306999974,1409.3737306999974,1409.3737306999974,1409.6774039000156,space,0.2879034000216052,None,1409.6780869000359,1410.0900581667122,1410.4054525000392,1410.3909879000275,1410.3914223000174,1410.4054525000392,1410.4054525000392,1410.4054525000392,1412.4276535999961,700,1,[2.021409599983599],[2.0214170999825],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,341,5,28,space,0.3105439000064507,None,56,1,[1.4702908000326715],[1.470298400032334],28,5,341,5,1412.4403017000295,,1412.4279651000397,1412.4403017000295,1413.439685999998,1413.439685999998,1413.439685999998,1413.7608917999896,space,0.3105439000064507,None,1413.7616130000097,1414.473198566706,1414.789693800034,1414.7750240000314,1414.7754299000371,1414.789693800034,1414.789693800034,1414.789693800034,1416.2606808000128,56,1,[1.4702908000326715],[1.470298400032334],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,342,6,28,space,0.31126700004097074,None,900,1,[1.6545666999882087],[1.65457489999244],28,6,342,6,1416.273224500008,,1416.260984099994,1416.273224500008,1417.2730966000236,1417.2730966000236,1417.2730966000236,1417.5942021000083,space,0.31126700004097074,None,1417.595058900013,1417.706717666708,1418.0222017000197,1418.0072498000227,1418.0076801000396,1418.0222017000197,1418.0222017000197,1418.0222017000197,1419.6774298000382,900,1,[1.6545666999882087],[1.65457489999244],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,400,unexp,343,7,28,space,0.41584999999031425,None,900,1,[1.5711026000208221],[1.5711104000220075],28,7,343,2,1419.6899669000413,,1419.6776848000009,1419.6899669000413,1420.6898720000172,1420.6898720000172,1420.6898720000172,1421.1122558999923,space,0.41584999999031425,None,1421.1131524000084,1421.823254866704,1422.1385276000365,1422.1246974000242,1422.1251232000068,1422.1385276000365,1422.1385276000365,1422.1385276000365,1423.7103402999928,900,1,[1.5711026000208221],[1.5711104000220075],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,344,8,28,space,0.22523619997082278,None,900,1,[1.570337400014978],[1.570344900013879],28,8,344,8,1423.722938699997,,1423.7106491000159,1423.722938699997,1424.7228958000196,1424.7228958000196,1424.7228958000196,1424.9602033999981,space,0.22523619997082278,None,1424.9608560000197,1425.6730720666858,1425.9889334000181,1425.9755857000127,1425.9760127000045,1425.9889334000181,1425.9889334000181,1425.9889334000181,1427.559992800001,900,1,[1.570337400014978],[1.570344900013879],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
