trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,90.16052930000001,,90.15155430000004,90.16052930000001,91.16000459999998,91.17670410000005,91.92762060000007,0,up,1,0.7645859000000428,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
56,0,56,0,91.94063370000003,,91.92909550000002,91.94063370000003,92.9394744,92.95625789999997,93.47516800000005,0,up,1,0.5316053999999895,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
57,0,57,0,93.48808550000001,,93.47673659999998,93.48808550000001,94.48652649999997,94.5034157,95.12250019999999,0,up,1,0.6246380000000045,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
58,0,58,0,95.13548250000008,,95.12392310000007,95.13548250000008,96.13394519999997,96.15082159999997,96.69437860000005,4,down,1,0.5464680000000044,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
59,0,59,0,96.71606029999998,,96.69849299999998,96.71606029999998,97.69890140000007,97.71559709999997,98.2388856,0,up,1,0.52977020000003,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
60,0,60,0,98.26325459999998,,98.24183260000007,98.26325459999998,99.24721210000007,99.26294870000004,99.75451120000002,3,down,1,0.5007898000000068,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
61,0,61,0,99.77724740000008,,99.75835949999998,99.77724740000008,100.76110330000006,100.77785490000008,101.41790990000004,0,up,1,0.6521832999999333,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
62,0,62,0,101.44157870000004,,101.42143620000002,101.44157870000004,102.42401530000006,102.44038790000002,102.89350130000003,4,down,1,0.46707149999997455,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
63,0,63,0,102.9064462,,102.89495599999998,102.9064462,103.90603770000007,103.90603770000007,104.44495830000005,0,down,0,0.5265726999999742,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
64,0,64,0,104.46993570000006,,104.44789960000003,104.46993570000006,105.45248650000008,105.46912380000003,106.22905639999999,-5,down,1,0.7458646000000044,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
65,0,65,0,106.25106930000004,,106.23790240000005,106.25106930000004,107.25000120000004,107.26652720000004,107.85365720000004,0,up,1,0.5970641999999771,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
66,0,66,0,107.86516319999998,,107.85589230000005,107.86516319999998,108.86397180000006,108.88060010000004,109.4331436,-3,down,1,0.5612906999999723,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
67,0,67,0,109.44601,,109.43460809999999,109.44601,110.44457169999998,110.46122209999999,111.08207279999999,0,up,1,0.6307603999999856,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
68,0,68,0,111.09368270000004,,111.08442869999999,111.09368270000004,112.09193449999998,112.10848399999998,112.56138240000007,0,up,1,0.4617041999999856,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
69,0,69,0,112.57523630000003,,112.56275619999997,112.57523630000003,113.5901566,113.5901566,114.38036110000007,-3,up,0,0.7763039999999819,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
70,0,70,0,114.4041049,,114.38362949999998,114.4041049,115.38665630000003,115.40315429999998,115.88913939999998,0,up,1,0.49631669999996575,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
71,0,71,0,115.90313349999997,,115.89063599999997,115.90313349999997,116.90079790000004,116.9174372,117.38648460000002,-5,down,1,0.4753718999999137,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
72,0,72,0,117.39995499999998,,117.38792560000002,117.39995499999998,118.39878099999999,118.41552250000007,118.9916048,0,up,1,0.584651299999905,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
73,0,73,0,119.01307870000005,,118.99391609999998,119.01307870000005,119.99619660000008,120.01291260000005,120.93576140000005,2,up,0,0.9300200999999788,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
74,0,74,0,120.96026319999999,,120.93905010000003,120.96026319999999,121.94285590000004,121.9595233,122.54778020000003,2,down,1,0.5977738000000272,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
75,0,75,0,122.55862279999997,,122.55018970000003,122.55862279999997,123.55716470000004,123.55716470000004,124.26453690000005,-4,down,1,0.7023770000000695,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
76,0,76,0,124.28821949999997,,124.26771640000004,124.28821949999997,125.2718807,125.28843730000006,125.97876930000007,0,down,0,0.7045256999999765,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
77,0,77,0,126.00226829999997,,125.98207239999999,126.00226829999997,126.98567600000001,127.00267280000003,127.53964689999998,1,down,1,0.5387749000000213,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
78,0,78,0,127.55075750000003,,127.54208500000004,127.55075750000003,128.54884000000004,128.56592510000007,129.05240660000004,-4,up,0,0.4875743999999713,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
79,0,79,0,129.06450089999998,,129.05381350000005,129.06450089999998,130.06442260000006,130.06442260000006,130.66666529999998,0,down,0,0.5858063999999104,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
80,0,80,0,130.6788477,,130.6682849,130.6788477,131.6771797,131.69378540000002,132.2366075,2,down,1,0.5545072999999547,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
81,0,81,0,132.258685,,132.2417772,132.258685,133.24142830000005,133.25793799999997,133.88322449999998,0,down,0,0.6317032999999128,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
82,0,82,0,133.90626959999997,,133.88707380000005,133.90626959999997,134.88932910000005,134.90619430000004,135.40953480000007,2,down,1,0.5069697999999789,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
83,0,83,0,135.42109660000006,,135.41198370000006,135.42109660000006,136.4193861,136.43637350000006,136.92748170000004,0,down,0,0.4942640000000438,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
84,0,84,0,136.95107459999997,,136.93064330000004,136.95107459999997,137.93381510000006,137.95043110000006,138.39271940000003,0,down,0,0.446954900000037,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
85,0,85,0,138.41578300000003,,138.39650819999997,138.41578300000003,139.39893660000007,139.4160796,139.92368240000008,0,down,0,0.5089193000000023,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
86,0,86,0,139.9466893,,139.92736460000003,139.9466893,140.92903050000007,140.94566859999998,141.58392620000006,-3,up,0,0.6393689999999879,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
87,0,87,0,141.59500100000002,,141.5865179,141.59500100000002,142.59335540000006,142.60983310000006,143.16549650000002,4,down,1,0.561779099999967,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
88,0,88,0,143.17566039999997,,143.16825389999997,143.17566039999997,144.1742931,144.19087280000008,145.01235099999997,0,up,1,0.8316267999999809,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
89,0,89,0,145.02270959999998,,145.0151022,145.02270959999998,146.02125180000007,146.03803830000004,146.75691900000004,0,up,1,0.7269346000000496,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
90,0,90,0,146.7698527,,146.75858649999998,146.7698527,147.76874650000002,147.76874650000002,148.30897590000006,0,down,0,0.5366056999999955,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
91,0,91,0,148.33317870000008,,148.3123071,148.33317870000008,149.31634730000007,149.33324700000003,150.05571940000004,-5,down,1,0.7326146000000335,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
92,0,92,0,150.08026640000003,,150.0591786,150.08026640000003,151.06364800000006,151.08001180000008,151.63456710000003,0,up,1,0.568060800000012,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
93,0,93,0,151.64536520000001,,151.63688350000007,151.64536520000001,152.64409450000005,152.66061820000004,153.5125951,-4,down,1,0.8554103000000168,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
94,0,94,0,153.52535550000005,,153.51423410000007,153.52535550000005,154.524227,154.54087190000007,155.27613940000003,0,up,1,0.7459147000000712,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
95,0,95,0,155.28923370000007,,155.27782480000008,155.28923370000007,156.2887624,156.2887624,156.95785999999998,0,up,1,0.6673918000000185,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
96,0,96,0,156.97063520000006,,156.9597516,156.97063520000006,157.96855360000006,157.98502740000004,158.59417310000003,3,down,1,0.6106670000000349,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
97,0,97,0,158.6168027,,158.6001374,158.6168027,159.5991067,159.63239410000006,160.10735380000006,0,up,1,0.4905837999999676,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
98,0,98,0,160.13054580000005,,160.11093670000002,160.13054580000005,161.11422679999998,161.13146430000006,161.8489042,3,down,1,0.7291743000000679,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
99,0,99,0,161.8619175,,161.85038070000007,161.8619175,162.86181169999998,162.86181169999998,163.29695090000007,0,up,1,0.4302120999999488,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
