trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
66,0,66,0,140.71290569996927,,140.65281639999012,10,140.71290569996927,140.71290569996927,0.03189919999567792,143.03218239999842,[-0.10166666666666667],[0.043333333333333335],[1],[0],[0],[2.347662600048352],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
67,0,67,0,143.07570390001638,,143.0354264000198,5,143.07570390001638,143.07570390001638,0.017209200013894588,145.04451939999126,[-0.41],[-0.48333333333333334],[1],[0],[0],[1.992089900013525],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
68,0,68,0,145.10578290000558,,145.04768949997379,10,145.10578290000558,145.10578290000558,0.0324782999814488,147.28124649997335,[-0.445],[-0.31833333333333336],[1],[0],[0],[2.200922999996692],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
69,0,69,0,147.36866749997716,,147.29011589998845,10,147.36866749997716,147.36866749997716,0.05650529998820275,149.98675370001,[-0.26],[0.2866666666666667],[1],[0],[0],[2.641502099984791],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
70,0,70,0,150.03130779997446,,149.99015710002277,5,150.03130779997446,150.03130779997446,0.016437800019048154,151.70022679999238,[-0.4533333333333333],[0.2966666666666667],[1],[0],[0],[1.6938166999607347],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
71,0,71,0,151.7450790000148,,151.70318539999425,5,151.7450790000148,151.7450790000148,0.016472099989186972,153.88069139997242,[0.3616666666666667],[-0.058333333333333334],[1],[0],[0],[2.1612295000231825],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
72,0,72,0,153.94172930001514,,153.88376429997152,10,153.94172930001514,153.94172930001514,0.031508800049778074,156.49276150000514,[0.21666666666666667],[0.485],[1],[0],[0],[2.5777111000497825],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
73,0,73,0,156.55389540002216,,156.4958867999958,10,156.55389540002216,156.55389540002216,0.031659199972637,159.20582620002097,[0.22],[-0.4066666666666667],[1],[0],[0],[2.6784745000186376],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
74,0,74,0,159.25103689997923,,159.20883149997098,5,159.25103689997923,159.25103689997923,0.015843599976506084,161.0021355000208,[-0.28],[0.125],[1],[0],[0],[1.7776632999884896],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
75,0,75,0,161.04686369997216,,161.00524079997558,5,161.04686369997216,161.04686369997216,0.016538299969397485,165.02953270002035,[0.021666666666666667],[0.485],[1],[0],[0],[4.007997100008652],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
76,0,76,0,165.09047549997922,,165.03264280001167,10,165.09047549997922,165.09047549997922,0.03110920003382489,166.44381129997782,[-0.06],[0.19],[1],[0],[0],[1.380326199985575],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
77,0,77,0,166.50481189996935,,166.44688750000205,10,166.50481189996935,166.50481189996935,0.0331554000149481,168.1559597000014,[-0.08666666666666667],[-0.24833333333333332],[1],[0],[0],[1.6762018000008538],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
78,0,78,0,168.21866650000447,,168.15955330000725,10,168.21866650000447,168.21866650000447,0.03213290002895519,169.8362984000123,[-0.41],[0.49833333333333335],[1],[0],[0],[1.6450822000042535],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
79,0,79,0,169.86609710002085,,169.83948809996946,5,169.86609710002085,169.86609710002085,0.016904800024349242,172.0184482000186,[-0.25666666666666665],[-0.03166666666666667],[1],[0],[0],[2.162248000036925],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
80,0,80,0,172.07917159999488,,172.0215914999717,10,172.07917159999488,172.07917159999488,0.032289499999023974,174.52917689998867,[-0.47],[-0.32666666666666666],[1],[0],[0],[2.4755088000092655],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
81,0,81,0,174.59189189999597,,174.53232489997754,10,174.59189189999597,174.59189189999597,0.030858499987516552,176.29308759997366,[-0.13],[0.37333333333333335],[1],[0],[0],[1.7301120000192896],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
82,0,82,0,176.33896179997828,,176.29611350002233,5,176.33896179997828,176.33896179997828,0.01667680003447458,178.20877309999196,[-0.115],[0.37833333333333335],[1],[0],[0],[1.8962467999663204],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
83,0,83,0,178.2693917999859,,178.21231279999483,10,178.2693917999859,178.2693917999859,0.03130920004332438,179.98686900001485,[0.48833333333333334],[0.395],[1],[0],[0],[1.743467599968426],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
84,0,84,0,180.03323489998002,,179.99006560002454,5,180.03323489998002,180.03323489998002,0.0172444999916479,182.03512830002,[0.04],[0.11],[1],[0],[0],[2.0280329000088386],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
85,0,85,0,182.0963978000218,,182.03818299999693,10,182.0963978000218,182.0963978000218,0.0317094000056386,184.52918319997843,[0.275],[0.051666666666666666],[1],[0],[0],[2.4594960999675095],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
86,0,86,0,184.64213739999104,,184.53236969996942,5,184.64213739999104,184.64213739999104,0.01695130002917722,187.36132789996918,[0.16166666666666665],[-0.25833333333333336],[1],[0],[0],[2.8121885000145994],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
87,0,87,0,187.421503999969,,187.36604330001865,10,187.421503999969,187.421503999969,0.03194769995752722,189.4736002999707,[-0.24833333333333332],[0.041666666666666664],[1],[0],[0],[2.076083899999503],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
88,0,88,0,189.5347031999845,,189.47683900000993,10,189.5347031999845,189.5347031999845,0.03163819998735562,190.86967009998625,[0.0],[-0.08833333333333333],[1],[0],[0],[1.3614726000232622],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
89,0,89,0,190.9324814999709,,190.87285290000727,10,190.9324814999709,190.9324814999709,0.03289189998758957,192.63330109999515,[0.14666666666666667],[-0.22],[1],[0],[0],[1.727757400018163],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
90,0,90,0,192.67952050000895,,192.63650600000983,5,192.67952050000895,192.67952050000895,0.01721790002193302,195.7966411000234,[0.21166666666666667],[-0.47333333333333333],[1],[0],[0],[3.1431459999876097],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
91,0,91,0,195.85782169998856,,195.79979040002218,10,195.85782169998856,195.85782169998856,0.031786799954716116,197.44215969997458,[0.041666666666666664],[-0.4083333333333333],[1],[0],[0],[1.610845800023526],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
92,0,92,0,197.488406999968,,197.4452490999829,5,197.488406999968,197.488406999968,0.017624299973249435,199.25832730002003,[-0.3333333333333333],[0.43333333333333335],[1],[0],[0],[1.795640500029549],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
93,0,93,0,199.30228740000166,,199.26141789997928,5,199.30228740000166,199.30228740000166,0.016733600001316518,202.452437800006,[-0.37166666666666665],[-0.475],[1],[0],[0],[3.1745068000163883],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
94,0,94,0,202.49718319997191,,202.45554009999614,5,202.49718319997191,202.49718319997191,0.017264000023715198,203.83358679997036,[0.16],[-0.023333333333333334],[1],[0],[0],[1.3610615999787115],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
95,0,95,0,203.87833169999067,,203.83677409996744,5,203.87833169999067,203.87833169999067,0.017309100017882884,206.24693909997586,[0.39166666666666666],[-0.41333333333333333],[1],[0],[0],[2.3932330000097863],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
96,0,96,0,206.3077322000172,,206.25009559997125,10,206.3077322000172,206.3077322000172,0.03368460002820939,208.07588530000066,[-0.4083333333333333],[-0.36],[1],[0],[0],[1.7924083999823779],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
97,0,97,0,208.13811449997593,,208.0791586000123,10,208.13811449997593,208.13811449997593,0.03086950001306832,209.539518399979,[-0.27166666666666667],[-0.415],[1],[0],[0],[1.4298065999755636],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
98,0,98,0,209.60296180000296,,209.54261800000677,10,209.60296180000296,209.60296180000296,0.03087840002262965,211.03716230002465,[-0.135],[-0.025],[1],[0],[0],[1.4638418999966234],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
99,0,99,0,211.09993049997138,,211.04062430001795,10,211.09993049997138,211.09993049997138,0.03192740003578365,212.74716919998173,[0.3383333333333333],[-0.20166666666666666],[1],[0],[0],[1.674799999978859],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
100,0,100,0,212.85597909998614,,212.75629049999407,10,212.85597909998614,212.85597909998614,0.06661520001944155,214.80082770000445,[0.44666666666666666],[0.4583333333333333],[1],[0],[0],[1.9791644000215456],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
101,0,101,0,214.86064580001403,,214.80391269997926,10,214.86064580001403,214.86064580001403,0.030806499999016523,216.71155100001488,[-0.255],[-0.11166666666666666],[1],[0],[0],[1.8770441000233404],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
102,0,102,0,216.75742430001264,,216.7147200999898,5,216.75742430001264,216.75742430001264,0.01922090002335608,218.70935159997316,[-0.14],[-0.43],[1],[0],[0],[1.9756401000195183],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
103,0,103,0,218.75454799999716,,218.71251949999714,5,218.75454799999716,218.75454799999716,0.017355200019665062,220.17481679999037,[-0.48833333333333334],[0.2816666666666667],[1],[0],[0],[1.4452045999933034],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
104,0,104,0,220.23535159998573,,220.17773659998784,10,220.23535159998573,220.23535159998573,0.03125629998976365,222.35480289999396,[-0.45666666666666667],[0.20833333333333334],[1],[0],[0],[2.14581439999165],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
105,0,105,0,222.39858280000044,,222.35795749997487,5,222.39858280000044,222.39858280000044,0.01663989998633042,224.70095540001057,[0.465],[-0.26],[1],[0],[0],[2.3265525000169873],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
106,0,106,0,224.74492959998315,,224.70399399998132,5,224.74492959998315,224.74492959998315,0.016740299994125962,226.8139353999868,[-0.09666666666666666],[0.41333333333333333],[1],[0],[0],[2.0933881999808364],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
107,0,107,0,226.85828789998777,,226.81883220002055,5,226.85828789998777,226.85828789998777,0.01697929995134473,228.69324930000585,[0.06833333333333333],[-0.08833333333333333],[1],[0],[0],[1.8579466000082903],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
108,0,108,0,228.75531659997068,,228.69642260001274,10,228.75531659997068,228.75531659997068,0.03209140000399202,230.79107520001708,[0.17666666666666667],[0.28833333333333333],[1],[0],[0],[2.0628329000319354],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
109,0,109,0,230.851793800015,,230.79417409998132,10,230.851793800015,230.851793800015,0.03634920000331476,232.7867507999763,[0.38666666666666666],[0.09166666666666666],[1],[0],[0],[1.956399800023064],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
110,0,110,0,232.83177940000314,,232.78988100000424,5,232.83177940000314,232.83177940000314,0.016234400041867048,234.91681129997596,[0.06333333333333334],[-0.175],[1],[0],[0],[2.110928000009153],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
111,0,111,0,234.96167170000263,,234.91986059996998,5,234.96167170000263,234.96167170000263,0.016865700017660856,237.4139077999862,[0.3566666666666667],[-0.465],[1],[0],[0],[2.4775296000298113],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
