pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,49,0,196,0,,,,,480.7042489000014,,480.6910261999874,480.7042489000014,481.7037590999971,481.7037590999971,481.7037590999971,481.7037590999971,481.7037590999971,482.7036175999965,482.7036175999965,483.00496279998333,z,1,0.2867460999987088,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,49,1,197,1,,,,,483.0205896999978,,483.00624649997917,483.0205896999978,484.0197686999745,484.0197686999745,484.0197686999745,484.0197686999745,484.0364273999876,485.0193655999901,485.0193655999901,485.38811569998506,x,1,0.3633497999981046,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,49,2,198,2,,,,,485.4028021999984,,485.39002539997455,485.4028021999984,486.4026016999851,486.4026016999851,486.4026016999851,486.4026016999851,486.4026016999851,487.40250070000184,487.40250070000184,487.72055969998473,c,1,0.3081265000218991,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,49,3,199,3,,,,,487.7354975999915,,487.72161969999433,487.7354975999915,488.73539009998785,488.73539009998785,488.73539009998785,488.73539009998785,488.73539009998785,489.73536939997575,489.73536939997575,490.1032822999987,v,1,0.35784850001800805,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,,,,,0,0,0,2,490.1537915999943,,490.1496361999889,490.1537915999943,491.1196559999953,491.1196559999953,491.1196559999953,491.1196559999953,491.16804649998085,492.118250599975,492.118250599975,493.62073289998807,c,1,1.4865859000128694,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,0,1,1,1,493.6343942999956,,493.6237923000008,493.6343942999956,494.63423739999416,494.63423739999416,494.63423739999416,494.63423739999416,494.63423739999416,495.63392639998347,495.63392639998347,496.3188104000001,x,1,0.6835387999890372,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,0,2,2,0,496.333690200001,,496.31968679997954,496.333690200001,497.33328880000045,497.33328880000045,497.33328880000045,497.33328880000045,497.33328880000045,498.3336855999951,498.3336855999951,498.7349026000011,z,1,0.39989860000787303,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,,,,,0,3,3,2,498.74994270000025,,498.7359544999781,498.74994270000025,499.7501149000018,499.7501149000018,499.7501149000018,499.7501149000018,499.7501149000018,500.74963249999564,500.74963249999564,502.5178927999805,c,1,1.758354200021131,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,1,0,4,1,502.53243979997933,,502.5191683000012,502.53243979997933,503.53241359998356,503.53241359998356,503.53241359998356,503.53241359998356,503.53241359998356,504.5321647999808,504.5321647999808,505.0007756999985,x,1,0.4664563999976963,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,,,,,1,1,5,3,505.01533739999286,,505.001803799998,505.01533739999286,506.0151233999932,506.0151233999932,506.0151233999932,506.0151233999932,506.0151233999932,507.01488439997775,507.01488439997775,507.91600409999955,b,0,0.8886688000056893,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,,,,,1,2,6,3,507.93129659999977,,507.91714999999385,507.93129659999977,508.9312552999763,508.9312552999763,508.9312552999763,508.9312552999763,508.9312552999763,509.93127649999224,509.93127649999224,511.21664769999916,v,1,1.275455700000748,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,1,3,7,0,511.23085359999095,,511.21845489999396,511.23085359999095,512.2306691999838,512.2306691999838,512.2306691999838,512.2306691999838,512.2306691999838,513.2300069999765,513.2300069999765,513.9310996999848,z,1,0.6936853999795858,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,2,0,8,0,513.9467157000036,,513.932178099989,513.9467157000036,514.9466297999898,514.9466297999898,514.9466297999898,514.9466297999898,514.9466297999898,515.9464358999976,515.9464358999976,516.6313257000002,z,1,0.682423899997957,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,2,1,9,1,516.6462326999754,,516.6324881999753,516.6462326999754,517.6460730999825,517.6460730999825,517.6460730999825,517.6460730999825,517.6460730999825,518.6457966000016,518.6457966000016,519.3297926999803,x,1,0.6682259000081103,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,,,,,2,2,10,3,519.3454823999782,,519.3323312999855,519.3454823999782,520.3456828999915,520.3456828999915,520.3456828999915,520.3456828999915,520.3456828999915,521.3453940999752,521.3453940999752,522.2631954999815,v,1,0.9037950000201818,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,,,,,2,3,11,3,522.2781521999859,,522.2645473000011,522.2781521999859,523.2780404999794,523.2780404999794,523.2780404999794,523.2780404999794,523.2780404999794,524.2777454000025,524.2777454000025,525.0787285999977,v,1,0.7845481999975163,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,3,0,12,0,525.0944548999832,,525.0798214999959,525.0944548999832,526.0941812999954,526.0941812999954,526.0941812999954,526.0941812999954,526.0941812999954,527.0940482000005,527.0940482000005,527.8620432000025,z,1,0.7647408999910112,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,,,,,3,1,13,2,527.8767565999879,,527.8631141999795,527.8767565999879,528.8769321999862,528.8769321999862,528.8769321999862,528.8769321999862,528.8769321999862,529.8768187999958,529.8768187999958,531.0777966000023,c,1,1.192657200008398,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,3,2,14,0,531.0931838999968,,531.0788895000005,531.0931838999968,532.0933455999766,532.0933455999766,532.0933455999766,532.0933455999766,532.0933455999766,533.0927637999994,533.0927637999994,533.7938399999985,z,1,0.6964472999970894,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,3,3,15,1,533.8091977000004,,533.7950796999794,533.8091977000004,534.8087460999959,534.8087460999959,534.8087460999959,534.8087460999959,534.8087460999959,535.8086998999934,535.8086998999934,536.509890699992,x,1,0.6871020999969915,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,4,0,16,0,536.5251726999995,,536.5107847999898,536.5251726999995,537.5082085999893,537.5082085999893,537.5082085999893,537.5082085999893,537.5249706999748,538.5247280999902,538.5247280999902,539.2429849999899,z,1,0.7099748000036925,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,,,,,4,1,17,0,539.2578513999761,,539.2443628999754,539.2578513999761,540.2575958999805,540.2575958999805,540.2575958999805,540.2575958999805,540.2575958999805,541.2581333999988,541.2581333999988,541.9089847999858,z,1,0.6373962999787182,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,4,2,18,1,541.9238642999844,,541.9102895999968,541.9238642999844,542.9238692999934,542.9238692999934,542.9238692999934,542.9238692999934,542.9238692999934,543.9235374999989,543.9235374999989,544.6086877999769,x,1,0.675362000009045,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,4,3,19,1,544.6232913999993,,544.6096225999936,544.6232913999993,545.6235030999815,545.6235030999815,545.6235030999815,545.6235030999815,545.6235030999815,546.6227623999876,546.6227623999876,547.4414593999973,x,1,0.804103300004499,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,5,0,20,1,547.4563655999955,,547.4423862999829,547.4563655999955,548.4565450999944,548.4565450999944,548.4565450999944,548.4565450999944,548.4565450999944,549.4558035999944,549.4558035999944,550.1580912999925,x,1,0.6947786000091583,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,,,,,5,1,21,1,550.1722868999932,,550.1596841999853,550.1722868999932,551.1725080999895,551.1725080999895,551.1725080999895,551.1725080999895,551.1725080999895,552.1725326000014,552.1725326000014,553.1582801999757,x,1,0.9813938000006601,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,,,,,5,2,22,2,553.1716546999814,,553.160092199978,553.1716546999814,554.1719062999764,554.1719062999764,554.1719062999764,554.1719062999764,554.1719062999764,555.1710823999892,555.1710823999892,556.0562581999984,c,1,0.8833034000126645,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,,,,,5,3,23,3,556.0714408999775,,556.0568478999776,556.0714408999775,557.0709591999766,557.0709591999766,557.0709591999766,557.0709591999766,557.0709591999766,558.0703438999772,558.0703438999772,559.4209720999934,v,1,1.3378276000148617,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
